TF	Drug_name	Drug_id	Drug_targets	effect_size_(reg_coeff)	pval	fdr
CTCF	Bleomycin (50 uM)	1378	DNA damage	-0.44436657432746	3.81497374805322e-09	3.61293956861632e-06
REST	Bleomycin (50 uM)	1378	DNA damage	0.545945779572779	3.86468056663758e-09	3.61293956861632e-06
GATA3	GSK429286A	230	ROCK2	0.323075848513744	4.14571295426509e-09	3.77091809394031e-06
USF1	Afatinib	1032	ERBB2, EGFR	0.322116170144833	4.96026301240353e-09	4.39309609690634e-06
IRF1	EHT 1864	1069	Rac GTPases	0.212383266819305	5.49553073347886e-09	4.74236120090336e-06
RELA	EHT 1864	1069	Rac GTPases	0.226888194086109	5.70632571635832e-09	4.80115979960098e-06
ELK1	Epothilone B	201	Microtubules	-0.441531273118899	6.41925787610322e-09	5.26927131268912e-06
MYCN	QS11	151	ARFGAP	-0.330438267473409	6.76902333316125e-09	5.42231445686186e-06
PAX5	KIN001-270	345	CDK9	0.183258019462792	6.92793111410073e-09	5.42231445686186e-06
MYC	SGC0946	1264	Q8TEK3 (DOT1L)	-0.129278542101483	7.47139099451812e-09	5.58777030934461e-06
REST	Bleomycin	190	DNA damage	0.68917997869078	7.38535672970103e-09	5.58777030934461e-06
MYC	Thapsigargin	180	sarco-endoplasmic reticulum Ca2+-ATPases	-0.476215074030958	7.91023743732187e-09	5.70530220781596e-06
ZEB1	GSK269962A (rescreen)	1192	ROCK1, ROCK2	0.356256243087565	7.96758888032536e-09	5.70530220781596e-06
NFE2L2	GSK1070916	226	AURKB	0.497747579682277	8.13862425013128e-09	5.70636248204517e-06
MYC	ZM-447439	1050	AURKB	-0.307029374205186	8.31322138747587e-09	5.70982583256123e-06
MYC	TAK-715	221	p38a	-0.234072366561342	8.50773654151955e-09	5.72655746609681e-06
GATA3	SB-505124	1194	TGFR1 (ALK5)	0.268949853198476	1.12673631272438e-08	7.43535502053705e-06
JUND	RDEA119 (rescreen)	1526	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.366198949989395	1.30358205650741e-08	8.43693348303016e-06
FOXA1	EX-527	341	SIRT1	0.169878419522265	1.84753771373019e-08	1.17318644821867e-05
MYCN	EX-527	341	SIRT1	-0.139170420018266	1.91175000204612e-08	1.19148048738634e-05
ELK1	Temozolomide	1375	DNA akylating agent	-0.165104405986343	2.00881478364968e-08	1.22921202806782e-05
STAT3	EHT 1864	1069	Rac GTPases	0.22407694465123	2.05821006850385e-08	1.23694749741959e-05
GATA3	FK866	1248	NAMPT	0.826118843693366	2.26204253763267e-08	1.33559722112329e-05
MYC	Vismodegib	1033	SMO	-0.192357319686715	2.44533598285106e-08	1.41892728453194e-05
MYC	Etoposide	134	TOP2	-0.440492013601028	2.52241412721061e-08	1.43884487205548e-05
GATA3	T0901317	333	LXR	0.268560942221723	2.72169206309601e-08	1.52664243972493e-05
JUND	AZD6244 (rescreen)	1498	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.377364413826574	2.88502764307384e-08	1.59173123487951e-05
STAT1	MP470	293	PDGFR	0.364263616377829	3.19248180516096e-08	1.7329512121402e-05
JUN	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.535325769341826	3.539295949577e-08	1.79951984646653e-05
MYC	GSK-1904529A	202	IGF1R	-0.158910117241682	3.56549819326593e-08	1.79951984646653e-05
PAX5	BAY 61-3606	178	SYK	0.330261901672453	3.5229635867376e-08	1.79951984646653e-05
TFAP2C	GSK429286A	230	ROCK2	0.296513958187696	3.58246411271008e-08	1.79951984646653e-05
VDR	EHT 1864	1069	Rac GTPases	0.19184761528857	3.53721545482293e-08	1.79951984646653e-05
PAX5	BMS-708163	205	g-secretase	0.139030295179519	3.789263295338e-08	1.87540670889118e-05
STAT2	EHT 1864	1069	Rac GTPases	0.196376444914038	4.7742936548946e-08	2.32867902834026e-05
GATA3	EX-527	341	SIRT1	0.178945110570765	4.85311649719243e-08	2.33330908161445e-05
MYC	Olaparib	1017	PARP1, PARP2	-0.221183372396171	5.09567928908555e-08	2.39012158399181e-05
SPI1	AZD6244 (rescreen)	1498	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.525311833874855	5.11331909218275e-08	2.39012158399181e-05
STAT1	SB-505124	1194	TGFR1 (ALK5)	0.204943732996423	5.23193379412846e-08	2.41206481974511e-05
MYC	BAY 61-3606	178	SYK	-0.320017402939503	6.08028807882188e-08	2.76529858503717e-05
HNF4A	YM155	268	BIRC5 (Survivin)	0.548118179767941	6.44025921713517e-08	2.88995898603579e-05
PAX5	Y-39983	309	ROCK	0.258148175481692	6.65423237734184e-08	2.94668671920315e-05
MYC	ABT-888	1018	PARP1, PARP2	-0.156308015389001	6.8277534992262e-08	2.97113086114036e-05
PAX5	Vinblastine	1004	Microtubules	0.33434325628955	6.88599635028817e-08	2.97113086114036e-05
HNF4A	Bleomycin (50 uM)	1378	DNA damage	0.425803933862838	7.11739943018093e-08	3.03210225092075e-05
MYCN	GSK-650394	177	SGK3	-0.366361219833198	7.38858816824221e-08	3.10828668502739e-05
ELK1	OSU-03012	167	PDPK1 (PDK1)	-0.267339957028279	8.18627282324266e-08	3.37067155119157e-05
IRF1	MP470	293	PDGFR	0.33840561800952	8.21260042186031e-08	3.37067155119157e-05
GATA2	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.35234319414947	8.37652174794757e-08	3.39652818586958e-05
MYC	JNK-9L	157	JNK	-0.230031929995688	8.53134321991279e-08	3.41812328650196e-05
JUN	RDEA119 (rescreen)	1526	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.354789030237428	9.05593406162478e-08	3.58119727086125e-05
YBX1	QS11	151	ARFGAP	-0.272361529383454	9.15118007113557e-08	3.58119727086125e-05
JUND	PD-0325901	1060	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.39781734275684	9.66457326745566e-08	3.69381813661327e-05
MYC	OSU-03012	167	PDPK1 (PDK1)	-0.265033065208649	9.76823099564942e-08	3.69381813661327e-05
PAX5	Bicalutamide	150	ANDR (androgen receptor)	0.115824766336378	9.6937982005145e-08	3.69381813661327e-05
MYC	Lenalidomide	1020	TNFA	-0.16230617193947	1.01397568330283e-07	3.79170573572853e-05
NFE2L2	MPS-1-IN-1	294	MPS1	0.306364604207411	1.07407988339088e-07	3.97232510720002e-05
SPI1	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.716240598869675	1.17348749852156e-07	4.28924182679948e-05
TCF12	Bleomycin (50 uM)	1378	DNA damage	-0.412470777712421	1.18526070388457e-07	4.28924182679948e-05
PAX5	STF-62247	258	stimulates autophagy	0.183603235753922	1.21932274349515e-07	4.36556456726908e-05
RELA	Bleomycin (50 uM)	1378	DNA damage	-0.431571139253055	1.40083070409147e-07	4.96262708907351e-05
MITF	piperlongumine	1243	Increases ROS levels	0.222451865069279	1.68057685077796e-07	5.89164728259711e-05
RUNX2	EHT 1864	1069	Rac GTPases	0.208517787514114	1.75224824687011e-07	6.07957884004264e-05
FOXA2	KIN001-270	345	CDK9	0.19679996860522	1.81903355305706e-07	6.24689532940158e-05
TP53	Bleomycin	190	DNA damage	-0.498941495791361	1.91677386692244e-07	6.51606307992674e-05
JUN	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.390332466917925	1.98286608438352e-07	6.67333580699274e-05
CTCF	TW 37	1149	BCL2, BCL2L1	-0.239932270719778	2.01158858752834e-07	6.70297167458083e-05
E2F4	EX-527	341	SIRT1	-0.120361204449032	2.20086814872371e-07	7.2617860338526e-05
ELK1	Bleomycin (50 uM)	1378	DNA damage	-0.396162459712887	2.26843935278653e-07	7.33384642890523e-05
NR3C1	EHT 1864	1069	Rac GTPases	0.239539639287824	2.25956834108597e-07	7.33384642890523e-05
YY1	QS11	151	ARFGAP	-0.296907845248624	2.28808163730515e-07	7.33384642890523e-05
PAX5	NPK76-II-72-1	257	PLK3	0.285895554172819	2.33177597588234e-07	7.40338872342643e-05
MYC	SB590885	1061	BRAF	-0.231468476063276	2.37804580578807e-07	7.47973192465396e-05
JUN	Bleomycin (50 uM)	1378	DNA damage	-0.459545398793271	2.43536015503123e-07	7.58907833496075e-05
PAX5	Zibotentan, ZD4054	266	Endothelin A Receptor	0.106235790915053	2.5018373051942e-07	7.72470958773493e-05
GATA3	NPK76-II-72-1	257	PLK3	0.377193697917619	2.54852081812572e-07	7.72886132417329e-05
NFE2L2	WZ3105	252	CLK2, CNSK1E, FLT3, ULK1	0.35237614919881	2.54911189119963e-07	7.72886132417329e-05
FOXA1	GSK429286A	230	ROCK2	0.261204871671763	2.66644287177406e-07	7.80340303039617e-05
FOXA1	Axitinib	1021	PDGFR, KIT, VEGFR	0.317553578982982	2.64766844626511e-07	7.80340303039617e-05
PAX5	Axitinib	1021	PDGFR, KIT, VEGFR	0.261558537524698	2.60464495917864e-07	7.80340303039617e-05
REST	Embelin	172	XIAP	0.261121639529287	2.65720417645866e-07	7.80340303039617e-05
LEF1	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.506409142149068	2.75442634990833e-07	7.99139817294525e-05
TFAP2C	EX-527	341	SIRT1	0.165010143938437	2.87807748381741e-07	8.27877758272435e-05
WT1	Cytarabine	1006	DNA synthesis	-0.356166286219824	3.05499554866813e-07	8.7132097619005e-05
STAT1	T0901317	333	LXR	0.196363038836224	3.21434318216388e-07	9.09064872232988e-05
ELK1	Gemcitabine	135	DNA replication	-0.560558185237217	3.38090995018701e-07	9.4820436977953e-05
ESR1	KIN001-270	345	CDK9	0.205496154164183	3.51319797716575e-07	9.69153097717323e-05
YBX1	GSK-1904529A	202	IGF1R	-0.133627090452545	3.48448693763729e-07	9.69153097717323e-05
MYC	Tubastatin A	265	HDAC6	-0.221007683398046	3.67979029927524e-07	9.83835797455873e-05
MYC	Vinblastine	1004	Microtubules	-0.310868557135008	3.71258791492782e-07	9.83835797455873e-05
SPI1	RDEA119 (rescreen)	1526	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.464769792634395	3.61259981681141e-07	9.83835797455873e-05
STAT1	TAK-715	221	p38a	0.21905962934735	3.70316545095022e-07	9.83835797455873e-05
TP63	Elesclomol	1031	HSP70	0.416116892164761	3.66697506083504e-07	9.83835797455873e-05
NR3C1	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.422854295261335	3.81418008577552e-07	0.000100286117802168
GATA3	Axitinib	1021	PDGFR, KIT, VEGFR	0.340492635989617	3.96966186484596e-07	0.000103565093070845
FOXA2	T0901317	333	LXR	0.220354547284653	4.13890908494391e-07	0.000104733071619389
MYC	UNC1215	1262	LMBL3	-0.10250044768247	4.07478489719072e-07	0.000104733071619389
NFKB1	XAV 939	1268	TNKS1 (tankyrase-1)	-0.183883732977725	4.1289427006549e-07	0.000104733071619389
PAX5	GSK429286A	230	ROCK2	0.211799576847472	4.10171092357312e-07	0.000104733071619389
TFAP2C	FK866	1248	NAMPT	0.734354931572681	4.17603502089484e-07	0.000104883924349415
TBP	THZ-2-102-1	346	CDK7	0.386318117637402	4.25017330279948e-07	0.000105955246300531
STAT3	SB52334	304	ALK5	0.270161823505872	4.35518738963036e-07	0.000107774876175007
NFKB1	Axitinib	1021	PDGFR, KIT, VEGFR	0.261795552260474	4.71951290494495e-07	0.000115938107164907
FOXP3	Temozolomide	1375	DNA akylating agent	-0.194955928332563	4.79064646095668e-07	0.000116832758437317
ELK1	PF-562271	158	FAK	-0.221235256691501	4.9457254425051e-07	0.000119747042998208
FOXA1	SB-505124	1194	TGFR1 (ALK5)	0.218637132394931	5.26436076083117e-07	0.000126551472432695
RELA	TL-2-105	211	CRAF	0.241692060503632	5.41630221954649e-07	0.000129280603687119
YY1	KIN001-270	345	CDK9	-0.156161269972213	5.72261914000996e-07	0.000135630103631715
AHR	SB-505124	1194	TGFR1 (ALK5)	0.180975588781346	5.89126204981267e-07	0.000137028600334607
FOXA1	TW 37	1149	BCL2, BCL2L1	0.285437335698652	5.89172923292406e-07	0.000137028600334607
ZEB1	Gefitinib	1010	EGFR	-0.243838459578359	5.90377270792396e-07	0.000137028600334607
MYC	MPS-1-IN-1	294	MPS1	-0.237463433127412	5.97955310060329e-07	0.000137836890137537
ETS1	QS11	151	ARFGAP	-0.293244209673213	6.3031953260023e-07	0.000142371838051414
MYC	KIN001-270	345	CDK9	-0.156498183117985	6.22209477404765e-07	0.000142371838051414
TFAP2C	Afatinib	1032	ERBB2, EGFR	-0.379277550994408	6.29114257709408e-07	0.000142371838051414
GATA3	VX-702	1028	p38	0.219010159788205	6.50567195520697e-07	0.00014596559310166
MYCN	VX-11e	262	ERK	-0.270475976265479	6.69443046555366e-07	0.000149205998223979
CTCF	Cisplatin	1005	DNA crosslinker	-0.237694628436944	6.78492400942737e-07	0.000150228037853472
MYCN	Zibotentan, ZD4054	266	Endothelin A Receptor	-0.102144735481654	6.99965855475266e-07	0.000153969613503399
MYC	CCT018159	1170	HSP90	-0.214342389994155	7.18883259128802e-07	0.000156587515139241
REL	Bleomycin (50 uM)	1378	DNA damage	-0.356150525480411	7.21172629522576e-07	0.000156587515139241
ELK1	IPA-3	176	PAK1, PAK2, PAK3	-0.310654670181194	7.73434260309576e-07	0.000165903758637392
MYC	STF-62247	258	stimulates autophagy	-0.169858132524582	7.73938199556397e-07	0.000165903758637392
REST	Vinblastine	1004	Microtubules	0.370189404827815	8.1534729075505e-07	0.000173674133356717
ETS1	Obatoclax Mesylate	182	BCL2, BCL2L1, MCL1	-0.352418396368794	8.58747352277156e-07	0.000181445852895287
SPI1	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.512277356417889	8.62615850935845e-07	0.000181445852895287
MYC	5-Fluorouracil	179	DNA antimetabolite	-0.306470912620962	8.81091750141262e-07	0.000184150470424216
YBX1	Epothilone B	201	Microtubules	-0.339546981599194	8.86417358749755e-07	0.000184150470424216
MYC	Cisplatin	1005	DNA crosslinker	-0.23937122795664	9.64431014048919e-07	0.000199128379005008
TCF4	TAK-715	221	p38a	0.228462626945622	1.01367297168758e-06	0.00020801929184235
GATA2	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.416042013550494	1.0252283289554e-06	0.000209115511581782
GATA3	Afatinib (rescreen)	1377	ERBB2, EGFR	-0.399268100266854	1.03473621151148e-06	0.000209783416857944
FOXA1	T0901317	333	LXR	0.217964075961965	1.07992401853765e-06	0.000217436252084625
MYCN	T0901317	333	LXR	-0.177694038079248	1.08716961215573e-06	0.000217436252084625
STAT3	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.450671590070687	1.09186529794389e-06	0.000217436252084625
JUN	AZD6244 (rescreen)	1498	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.338167177962581	1.11093690822834e-06	0.000219071108551328
PAX5	T0901317	333	LXR	0.177796098742611	1.11309343521845e-06	0.000219071108551328
GATA3	KIN001-260	290	IKK	0.24853825869885	1.16414907840747e-06	0.000227787425777927
ELK1	SB590885	1061	BRAF	-0.218892446648981	1.18889786422604e-06	0.00022878896581425
FOXA1	THZ-2-102-1	346	CDK7	0.546708673814992	1.1950716149215e-06	0.00022878896581425
SRF	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.317711307443887	1.20325796907212e-06	0.00022878896581425
STAT2	MP470	293	PDGFR	0.302940646429265	1.18190462171603e-06	0.00022878896581425
ZEB1	Elesclomol	1031	HSP70	0.397742363022977	1.19793337257582e-06	0.00022878896581425
ZEB1	GSK429286A	230	ROCK2	0.227624324380162	1.21281355044313e-06	0.00022931033730429
EBF1	Ruxolitinib	206	JAK1, JAK2, TYK2	0.169983757626397	1.22537163399481e-06	0.000230390404145784
YY1	Bicalutamide	150	ANDR (androgen receptor)	-0.106299096314456	1.23269622199512e-06	0.000230479951951366
PAX5	ZM-447439	1050	AURKB	0.262313802027189	1.2972097699673e-06	0.000240628104439669
YY1	Zibotentan, ZD4054	266	Endothelin A Receptor	-0.0982519027162884	1.30127217376377e-06	0.000240628104439669
YBX1	Obatoclax Mesylate	182	BCL2, BCL2L1, MCL1	-0.300449472776328	1.32767576230103e-06	0.000244169004263613
GATA3	UNC1215	1262	LMBL3	0.128618528645318	1.33928708644348e-06	0.000244195181274845
NR3C1	EX-527	341	SIRT1	0.155396417073724	1.34232977375862e-06	0.000244195181274845
NFE2L2	THZ-2-102-1	346	CDK7	0.536119460287559	1.36982745400052e-06	0.00024785775787305
YBX1	STF-62247	258	stimulates autophagy	-0.147518322927631	1.40967988897101e-06	0.000253704688039141
YBX1	EX-527	341	SIRT1	-0.105401442121445	1.42384548703869e-06	0.000254891063118548
FOXA2	EX-527	341	SIRT1	0.142145120718268	1.43302603845682e-06	0.000255177202773886
CREB1	EX-527	341	SIRT1	-0.10973039946711	1.46115055009453e-06	0.000257197925230686
E2F6	SB590885	1061	BRAF	-0.207068471550826	1.47658732402761e-06	0.000257197925230686
JUND	Bleomycin (50 uM)	1378	DNA damage	-0.420266922791099	1.46074629225698e-06	0.000257197925230686
REST	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	0.374049349606768	1.48258497978764e-06	0.000257197925230686
REST	BMN-673	1259	PARP1	0.416294881955664	1.4688079890525e-06	0.000257197925230686
CTCF	JNJ-26854165	1133	MDM2	-0.184098863085855	1.53594773019176e-06	0.000265088824921045
MYC	BMS-708163	205	g-secretase	-0.120435028560354	1.55359189341449e-06	0.000266765995779921
MYC	Axitinib	1021	PDGFR, KIT, VEGFR	-0.24080063742178	1.58667758357463e-06	0.000271064132361442
PAX5	GSK-650394	177	SGK3	0.324708332303978	1.63295274590766e-06	0.00027756073062385
HNF4A	KIN001-270	345	CDK9	0.158487779177476	1.65215802560084e-06	0.000279413961565811
IRF1	T0901317	333	LXR	0.176806276854211	1.67640897235958e-06	0.000282097719823809
FOXM1	AZD7762	1022	CHEK1, CHEK2	-0.237215823504301	1.71187347912154e-06	0.00028663234795938
AR	EHT 1864	1069	Rac GTPases	0.212896001581374	1.72687004307383e-06	0.000287711937126979
ELK1	Bicalutamide	150	ANDR (androgen receptor)	-0.102801899278839	1.73864110886909e-06	0.000288246140487631
MYC	Vorinostat	1012	HDAC inhibitor Class I, IIa, IIb, IV	-0.20866335244395	1.7950325117939e-06	0.000296136368551097
HNF4A	THZ-2-102-1	346	CDK7	0.456102514950996	1.81858715407207e-06	0.00029855878375754
LEF1	RDEA119 (rescreen)	1526	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.318415345595433	1.84984575663641e-06	0.000300756323379703
PAX5	YK 4-279	1239	RNA helicase A	0.269938318492024	1.845054663139e-06	0.000300756323379703
MYC	AS601245	207	JNK 	-0.226424765526646	1.92093230994248e-06	0.000310812388899587
ELK1	AS601245	207	JNK 	-0.227120576484938	1.97174059748569e-06	0.000317158062482908
FOXA2	PI-103	302	PI3Ka, PRKDC (DNAPK)	0.489587157304363	1.98842226070104e-06	0.000317158062482908
HSF1	Obatoclax Mesylate	182	BCL2, BCL2L1, MCL1	-0.285784243238496	1.98366598684164e-06	0.000317158062482908
STAT1	SB52334	304	ALK5	0.242609033124236	2.00203418009859e-06	0.000317822926090652
YBX1	Docetaxel	1007	Microtubules	-0.249964752745838	2.03317190715223e-06	0.000321250706738067
ELK1	JNK-9L	157	JNK	-0.203591231905917	2.18370634588203e-06	0.00033096569512314
GATA3	TAK-715	221	p38a	0.25772771724085	2.15900737018958e-06	0.00033096569512314
MYC	KIN001-260	290	IKK	-0.181162753039385	2.17842050153828e-06	0.00033096569512314
MYC	OSI-930	298	KIT, VEGFR, PDGFR	-0.172601825290638	2.14830390580593e-06	0.00033096569512314
NFKB1	TL-2-105	211	CRAF	0.218875304793338	2.17725078773518e-06	0.00033096569512314
REL	FH535	173	unknown 	0.227824287216301	2.18258020745732e-06	0.00033096569512314
RELA	Axitinib	1021	PDGFR, KIT, VEGFR	0.259697856212728	2.14767435820872e-06	0.00033096569512314
RELA	AZD6244 (rescreen)	1498	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.30302769054385	2.19299806900788e-06	0.00033096569512314
RELA	RDEA119 (rescreen)	1526	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.290148574426455	2.14841998260813e-06	0.00033096569512314
TEAD1	Bleomycin (50 uM)	1378	DNA damage	-0.387375213162309	2.16509934676219e-06	0.00033096569512314
MYCN	PF-562271	158	FAK	-0.210631419517981	2.25310534366899e-06	0.000338519019380267
MYC	IPA-3	176	PAK1, PAK2, PAK3	-0.296441324013934	2.28252730275489e-06	0.000341415361663182
AHR	FH535	173	unknown 	0.242296410189931	2.29271979071748e-06	0.000341422498038039
REST	Cytarabine	1006	DNA synthesis	0.387737499953741	2.33529286802068e-06	0.00034623031486007
GATA3	Olaparib	1017	PARP1, PARP2	0.257304422906966	2.38748881104651e-06	0.000352416385683203
YY1	Temozolomide	1375	DNA akylating agent	-0.138532231602207	2.41433127841589e-06	0.000354822354476361
REL	TL-2-105	211	CRAF	0.199481166584553	2.43024279136081e-06	0.000355607918014122
MYC	Vinorelbine	140	Microtubules	-0.311277195803732	2.44784416964117e-06	0.000355735286247395
WT1	BMN-673	1259	PARP1	-0.346516883684369	2.4522533474787e-06	0.000355735286247395
ELK1	GSK-650394	177	SGK3	-0.316602369165257	2.47721541804494e-06	0.000357814098258809
NR3C1	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.507537707416624	2.55455201587767e-06	0.000367407897839158
MYC	KIN001-236	286	TIE2	-0.155426958870455	2.57964467711065e-06	0.000369040075588698
TBP	CCT007093	1067	PPM1D	0.117184898215395	2.58783116443122e-06	0.000369040075588698
PAX5	Temozolomide	1375	DNA akylating agent	0.140474455720026	2.6044053269775e-06	0.000369836545482817
REST	PD-0325901	1060	MAP2K1 (MEK1), MAP2K2 (MEK2)	0.371980315371075	2.61710929349282e-06	0.000370079047363449
TCF12	Docetaxel	1007	Microtubules	-0.280414809891053	2.64140036508912e-06	0.000371951168565165
WT1	SN-38	1494	TOP1	-0.312042353058616	2.7330186825597e-06	0.000383248932339778
ELK1	FH535	173	unknown 	-0.22977308502977	2.75784388151117e-06	0.000384079722837203
SPI1	SB-505124	1194	TGFR1 (ALK5)	0.270597991255731	2.76176772921121e-06	0.000384079722837203
MYC	CX-5461	300	RNA Pol I	-0.338285451303779	2.7741298936448e-06	0.000384211282183604
GATA2	THZ-2-102-1	346	CDK7	0.436031555453907	2.80149178480271e-06	0.000386410680399734
POU3F2	FH535	173	unknown 	0.259146700992109	2.87642387508326e-06	0.00039512671639154
FOXA1	KIN001-260	290	IKK	0.220444455260455	2.8955985218954e-06	0.000396143773391828
ESR1	Afatinib	1032	ERBB2, EGFR	-0.344796843485533	2.91985515886193e-06	0.000397845041989872
MYCN	MPS-1-IN-1	294	MPS1	-0.224809970509969	2.93842110254548e-06	0.000397849727970527
PAX5	YM201636	310	FYV1	0.210557024891934	2.94353238046832e-06	0.000397849727970527
MYC	Bleomycin	190	DNA damage	-0.446574788078957	2.98660498073071e-06	0.000400454942735028
YBX1	TAK-715	221	p38a	-0.16948387071153	2.98101290015431e-06	0.000400454942735028
ESR1	GSK429286A	230	ROCK2	0.248149426215198	3.08175555247834e-06	0.000411573345708962
ELK1	QS11	151	ARFGAP	-0.262897141515766	3.09840001350726e-06	0.000412160681638683
NR3C1	PD-0325901	1060	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.394587544916935	3.15909248240845e-06	0.000416938264688064
REST	Docetaxel	1007	Microtubules	0.334103945819141	3.15640328829651e-06	0.000416938264688064
PPARD	NSC-207895	269	MDM4	0.235941659746614	3.28643489157933e-06	0.000432050649516025
CDX2	Bleomycin (50 uM)	1378	DNA damage	0.401858722262128	3.41783997306743e-06	0.000447119301483327
E2F4	CCT018159	1170	HSP90	-0.18429334754697	3.42762679491007e-06	0.000447119301483327
