DRUG_ID	DRUG_NAME	SYNONYMS	BRAND_NAME	PUTATIVE_TARGET	DRUG_TYPE
331	QL-X-138			MNK2, PRKDC (DNAPK), MTOR, BTK, JAK3	targetted
332	XMD15-27			CAMK2B, CLK2, DYRK1A, MAST1, STK39	targetted
333	T0901317			LXR	targetted
341	EX-527			SIRT1	targetted
344	THZ-2-49			CDK9	targetted
345	KIN001-270			CDK9	targetted
346	THZ-2-102-1			CDK7	targetted
1001	AICAR	N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide	AICAR	AAPK1 (AMPK) agonist	targetted
1003	Camptothecin	7-Ethyl-10-Hydroxy-Camptothecin,SN-38	SN-38	TOP1	cytotoxic
1004	Vinblastine	Vinblastine sulphate	Vinblastine	Microtubules	cytotoxic
1005	Cisplatin	cis-Diammineplatinum(II) dichloride	Cisplatin	DNA crosslinker	cytotoxic
1006	Cytarabine	Ara-Cytidine,Arabinosyl Cytosine,U-19920	Cytarabine (AraC)	DNA synthesis	cytotoxic
1007	Docetaxel	RP-56976	Taxotere	Microtubules	cytotoxic
1008	Methotrexate		Methotrexate	Dihydrofolate reductase (DHFR)	cytotoxic
1009	ATRA	Tretinoin	Vesanoid	Retinoic acid and retinoid X receptor agonist	targetted
1010	Gefitinib	ZD-1839	Iressa	EGFR	targetted
1011	ABT-263			BCL2, BCL2L1, BCL2L2	targetted
1012	Vorinostat	SAHA	Zolinza	HDAC inhibitor Class I, IIa, IIb, IV	targetted
1013	Nilotinib		Tasigna	ABL	targetted
1014	RDEA119	RDEA119		MAP2K1 (MEK1), MAP2K2 (MEK2)	targetted
1015	CI-1040	PD-18435,PD-184352		MAP2K1 (MEK1), MAP2K2 (MEK2)	targetted
1016	Temsirolimus	CCI-779	Torisel	MTOR	targetted
1017	Olaparib	KU-0059436, AZD-2281	Lynparza	PARP1, PARP2	targetted
1018	ABT-888	ABT-888		PARP1, PARP2	targetted
1019	Bosutinib	SKI-606	Bosulif	SRC, ABL, TEC	targetted
1020	Lenalidomide		Revlimid	TNFA	targetted
1021	Axitinib	AG-013736	Axitinib	PDGFR, KIT, VEGFR	targetted
1022	AZD7762	AZD 7762		CHEK1, CHEK2	targetted
1023	GW 441756			NTRK1	targetted
1024	CEP-701	CEP-701	Lestaurtinib	FLT3, JAK2, NTRK1, RET	targetted
1025	SB 216763	SB 216763		GSK3A, GSK3B	targetted
1026	17-AAG	17-AAG	Telatinib	HSP90	targetted
1028	VX-702			p38	targetted
1029	AMG-706	AMG-706	Motesanib Diphosphate	VEGFR, RET, c-KIT, PDGFR	targetted
1030	KU-55933			ATM	targetted
1031	Elesclomol			HSP70	targetted
1032	Afatinib	Tovok, BIBW2992	Gilotrif	ERBB2, EGFR	targetted
1033	Vismodegib	GDC-0449	Erivedge	SMO	targetted
1036	PLX4720	Vemurafenib (derivative)	Zelboraf (derivative)	BRAF	targetted
1037	BX-795	BX 795		TBK1, PDPK1, IKK, AURKB, AURKC	targetted
1038	NU-7441	NU-7432,KU-57788		PRKDC (DNAPK)	targetted
1039	SL 0101-1			RSK, AURKB, PIM3	targetted
1042	BIRB 0796		Doramapimod	p38, JNK2	targetted
1043	JNK Inhibitor VIII	JNK Inhibitor VIII		JNK	targetted
1046	681640	681640		WEE1, CHEK1	targetted
1047	Nutlin-3a	Nutlin-3a (-) enantiomer		MDM2	targetted
1049	PD-173074	PD-173074		FGFR1, FGFR3	targetted
1050	ZM-447439	ZM447439		AURKB	targetted
1052	RO-3306			CDK1	targetted
1053	MK-2206			AKT1, AKT2	targetted
1054	PD-0332991	PD-0332991		CDK4, CDK6	targetted
1057	NVP-BEZ235	BEZ235		PI3K (Class 1) and MTORC1/2	targetted
1058	GDC0941			PI3K (class 1)	targetted
1059	AZD8055	AZD8055	pp242	MTORC1/2	targetted
1060	PD-0325901	PD-0325901		MAP2K1 (MEK1), MAP2K2 (MEK2)	targetted
1061	SB590885			BRAF	targetted
1062	AZD6244			MAP2K1 (MEK1), MAP2K2 (MEK2)	targetted
1066	AZD6482 (rescreen)	WO2009093972		PI3Kbeta	targetted
1067	CCT007093			PPM1D	targetted
1069	EHT 1864			Rac GTPases	targetted
1072	BMS-708163 (rescreen)	Avagacestat		g-secretase	targetted
1091	BMS-536924 (rescreen)	BMS-536924		IGF1R	targetted
1114	Cetuximab	Cetuximab	Erbitux	EGFR	targetted
1129	PF-4708671			RPS6KB1 (p70S6KA)	targetted
1133	JNJ-26854165		Serdemetan	MDM2	targetted
1142	HG-5-113-01			LOK, LTK, TRCB, ABL(T315I)	targetted
1143	HG-5-88-01			EGFR, ADCK4	targetted
1149	TW 37			BCL2, BCL2L1	targetted
1158	XMD11-85h			BRSK2, FLT4, MARK4, PRKCD, RET, SPRK1	targetted
1161	ZG-10			IRAK1	targetted
1164	XMD8-92			MAP2K5 (ERK5)	targetted
1166	QL-VIII-58			MTOR, ATR	targetted
1170	CCT018159			HSP90	targetted
1175	AG-014699	PF-01367338		PARP1, PARP2	targetted
1192	GSK269962A (rescreen)	KIN001-155		ROCK1, ROCK2	targetted
1194	SB-505124	2-(5-Benzo[1,3]dioxol-5-yl-2-tert-butyl-3H-imidazol-4-yl)-6-methylpyridine hydrochloride hydrate		TGFR1 (ALK5)	targetted
1199	Tamoxifen			ER	targetted
1203	QL-XII-61			BTK	targetted
1218	JQ1 (rescreen)			BRD2, BRD3, BRD4	targetted
1219	PFI-1			BRD2, BRD3, BRD4	targetted
1230	IOX2			EGLN1	targetted
1236	UNC0638 (rescreen)			G9a(EHMT2), GLP(EHMT1)	targetted
1239	YK 4-279			RNA helicase A	targetted
1241	CHIR-99021 (rescreen)	CT 99021		GSK3B	targetted
1242	(5Z)-7-Oxozeaenol			MAP3K7 (TAK1)	targetted
1243	piperlongumine			Increases ROS levels	not defined
1248	FK866	APO866		NAMPT	targetted
1259	BMN-673			PARP1	targetted
1261	rTRAIL			TR10A (DR4),  TR10B (DR5)	targetted
1262	UNC1215			LMBL3	targetted
1264	SGC0946			Q8TEK3 (DOT1L)	targetted
1268	XAV 939	NVP-XAV 939		TNKS1 (tankyrase-1)	targetted
1371	PLX4720 (rescreen)	Vemurafenib (derivative)	Zelboraf	BRAF	targetted
1372	Trametinib	GSK1120212	Mekinist	MAP2K1 (MEK1), MAP2K2 (MEK2)	targetted
1373	Dabrafenib	GSK2118436	Tafinlar	BRAF	targetted
1375	Temozolomide	Temodar		DNA akylating agent	cytotoxic
1377	Afatinib (rescreen)	Tovok, BIBW2992	Gilotrif	ERBB2, EGFR	targetted
1378	Bleomycin (50 uM)			DNA damage	cytotoxic
1494	SN-38	7-ETHYL-10-HYDROXY-CAMPTOTHECIN		TOP1	cytotoxic
1495	AZD-2281	Olaparib		PARP1, PARP2	targetted
1498	AZD6244 (rescreen)			MAP2K1 (MEK1), MAP2K2 (MEK2)	targetted
1502	Bicalutamide (rescreen)	ICI-176334	Casodex	ANDR (androgen receptor)	targetted
1526	RDEA119 (rescreen)			MAP2K1 (MEK1), MAP2K2 (MEK2)	targetted
1527	GDC0941 (rescreen)			PI3K	targetted
1529	MLN4924			NEDD8-activating enzyme	targetted
