TF	Drug_name	Drug_id	Drug_targets	effect_size_(reg_coeff)	pval	fdr
JUN	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.553912158718568	2.6262529526463e-08	2.00878507093889e-05
GATA2	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.374472137001925	2.93549185452727e-08	2.15942309005752e-05
IRF1	MP470	293	PDGFR	0.36804942256115	2.95152168006673e-08	2.15942309005752e-05
MYC	ZM-447439	1050	AURKB	-0.299990289688528	3.20244875540559e-08	2.19955944618724e-05
REST	Bleomycin	190	DNA damage	0.679590050036479	3.1169806940881e-08	2.19955944618724e-05
ZEB1	GSK269962A (rescreen)	1192	ROCK1, ROCK2	0.353892171312972	3.19156791958304e-08	2.19955944618724e-05
MYC	Etoposide	134	TOP2	-0.448044927237152	3.30170537852872e-08	2.22237789028768e-05
MYC	Vismodegib	1033	SMO	-0.19470239388643	3.54652845876367e-08	2.34036108391552e-05
ELK1	Epothilone B	201	Microtubules	-0.423461770400747	4.2546369199326e-08	2.75365010654484e-05
FOXA1	EX-527	341	SIRT1	0.168778436365054	4.56607670560868e-08	2.88498957084685e-05
PAX5	BMS-708163	205	g-secretase	0.140750592435604	4.62901312808586e-08	2.88498957084685e-05
PAX5	BAY 61-3606	178	SYK	0.333503681969327	5.45978886182681e-08	3.30129272167144e-05
SPI1	RDEA119 (rescreen)	1526	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.524298336416713	5.49316275185264e-08	3.30129272167144e-05
MYC	JNK-9L	157	JNK	-0.240003211072192	5.72295265587584e-08	3.37905213392108e-05
STAT1	SB-505124	1194	TGFR1 (ALK5)	0.211903421017454	6.07807004044745e-08	3.52685253812515e-05
JUN	RDEA119 (rescreen)	1526	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.369369015190951	6.22571868312361e-08	3.55129766577161e-05
GATA3	FK866	1248	NAMPT	0.819169656984375	6.51956126103718e-08	3.56094213708378e-05
MYC	EX-527	341	SIRT1	-0.134385603103867	6.56004791261906e-08	3.56094213708378e-05
RELA	Bleomycin (50 uM)	1378	DNA damage	-0.456554193521015	6.50830063205447e-08	3.56094213708378e-05
WT1	CHIR-99021 (rescreen)	1241	GSK3B	-0.2536818416856	7.20410106518028e-08	3.84847652934353e-05
JUND	PD-0325901	1060	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.409820949278493	7.45063639384992e-08	3.91798699742217e-05
VDR	EHT 1864	1069	Rac GTPases	0.192924482941926	7.68301279698621e-08	3.97802762588571e-05
GATA2	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.46951741657709	7.80381075515123e-08	3.97935228734265e-05
STAT2	EHT 1864	1069	Rac GTPases	0.199495107380997	7.96480077412632e-08	4.00082641870479e-05
GATA3	T0901317	333	LXR	0.26826431214145	8.45775281607823e-08	4.18596575036931e-05
MYC	SGC0946	1264	Q8TEK3 (DOT1L)	-0.121985723111795	8.75275528760859e-08	4.20819970292096e-05
PAX5	Bicalutamide	150	ANDR (androgen receptor)	0.119369512686143	8.63317840798227e-08	4.20819970292096e-05
SPI1	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.58828090298834	9.03410791860969e-08	4.28229439437759e-05
RUNX2	EHT 1864	1069	Rac GTPases	0.218979979236842	9.38288927091962e-08	4.38584914462222e-05
GATA3	SB-505124	1194	TGFR1 (ALK5)	0.258392394228398	9.8868641371945e-08	4.50697293816353e-05
NFE2L2	MPS-1-IN-1	294	MPS1	0.31945523954183	9.90984987146341e-08	4.50697293816353e-05
STAT3	SB52334	304	ALK5	0.295373050883824	1.03219217507728e-07	4.57084574371392e-05
WT1	Cytarabine	1006	DNA synthesis	-0.384851851356959	1.01979823567456e-07	4.57084574371392e-05
MYC	Thapsigargin	180	sarco-endoplasmic reticulum Ca2+-ATPases	-0.447047860687726	1.08506954284441e-07	4.74259941096474e-05
JUND	AZD6244 (rescreen)	1498	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.363093740413532	1.26797407997564e-07	5.47098303353591e-05
JUN	EHT 1864	1069	Rac GTPases	0.224290155529239	1.61066590568704e-07	6.86164063998701e-05
MYC	ABT-888	1018	PARP1, PARP2	-0.153280444162444	1.78346580652679e-07	7.50281771483239e-05
GATA3	EX-527	341	SIRT1	0.174946142851305	1.8272145250825e-07	7.59196356069771e-05
MYC	BAY 61-3606	178	SYK	-0.313811119406288	2.10034732840197e-07	8.6203889435815e-05
MYCN	QS11	151	ARFGAP	-0.301679853117233	2.12971925189792e-07	8.63562667742465e-05
HNF4A	YM155	268	BIRC5 (Survivin)	0.534713779853322	2.1705203334865e-07	8.69629307422479e-05
SPI1	PD-0325901	1060	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.580538971781458	2.37073364529798e-07	9.38671068617687e-05
JUN	Bleomycin (50 uM)	1378	DNA damage	-0.467034556844869	2.50691338447786e-07	9.76102058178095e-05
STAT3	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.493263902052478	2.52327675119579e-07	9.76102058178095e-05
TFAP2C	GSK429286A	230	ROCK2	0.28226133516961	2.7443577527918e-07	0.000104956091102509
STAT2	MP470	293	PDGFR	0.335833963324266	2.80894547575771e-07	0.000106219168524299
NFE2L2	WZ3105	252	CLK2, CNSK1E, FLT3, ULK1	0.363267980972634	2.95251880919569e-07	0.000110407800581646
PAX5	GSK429286A	230	ROCK2	0.219626487878428	3.00713237356023e-07	0.000111214329705681
PAX5	Y-39983	309	ROCK	0.252244036352669	3.04619943820197e-07	0.000111434610970312
REST	Vinblastine	1004	Microtubules	0.395819760039112	3.09377125360622e-07	0.000111957926387223
CTCF	TW 37	1149	BCL2, BCL2L1	-0.245268713647085	3.13538665858527e-07	0.000112256848930518
STAT3	EHT 1864	1069	Rac GTPases	0.210929286330876	3.18340265096258e-07	0.000112776227598048
PAX5	STF-62247	258	stimulates autophagy	0.177747560894455	3.26433579410783e-07	0.000113491089881931
TP53	Bleomycin	190	DNA damage	-0.49750331607846	3.27102532121447e-07	0.000113491089881931
IRF1	T0901317	333	LXR	0.197446157655479	3.37548234892767e-07	0.000115920263727715
PAX5	Zibotentan, ZD4054	266	Endothelin A Receptor	0.107263803147698	3.7941075142164e-07	0.000127690688390953
PAX5	Vinblastine	1004	Microtubules	0.322158945496955	3.77452848056325e-07	0.000127690688390953
STAT1	T0901317	333	LXR	0.203572908617032	3.98604744234206e-07	0.000132822204625764
FOXA2	KIN001-270	345	CDK9	0.195921619172693	4.14009914642348e-07	0.000136602977228316
ELK1	Gemcitabine	135	DNA replication	-0.566140327490858	4.20710504637894e-07	0.00013746613624843
MYC	Vinblastine	1004	Microtubules	-0.31539005353257	4.38660554656215e-07	0.000140601152066237
TCF12	Bleomycin (50 uM)	1378	DNA damage	-0.3983468140507	4.3566229340031e-07	0.000140601152066237
REL	Bleomycin (50 uM)	1378	DNA damage	-0.370707157386928	4.43984276045152e-07	0.000140965007644336
HNF4A	KIN001-270	345	CDK9	0.170831220079742	4.6420504985989e-07	0.000146007672458267
MYC	Olaparib	1017	PARP1, PARP2	-0.208042828233727	4.70579261849179e-07	0.000146642083866057
MYC	Tubastatin A	265	HDAC6	-0.223615995675923	4.75398797267655e-07	0.000146784830477458
PAX5	ZM-447439	1050	AURKB	0.278244347845902	4.92157830301303e-07	0.000150577925261731
MYC	Lenalidomide	1020	TNFA	-0.156445390804942	5.34481692607327e-07	0.000160865947671499
NR3C1	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.428376635407894	5.35343519215804e-07	0.000160865947671499
GATA3	NPK76-II-72-1	257	PLK3	0.379327994526789	5.9790450696607e-07	0.000178075010459673
MYC	TAK-715	221	p38a	-0.207813620979169	6.15089037027768e-07	0.000181586153869908
REST	Embelin	172	XIAP	0.263359440989331	6.31000887203066e-07	0.000184663781381036
SPI1	SB-505124	1194	TGFR1 (ALK5)	0.303410087252272	6.47191277383128e-07	0.000187769158968355
ELK1	OSU-03012	167	PDPK1 (PDK1)	-0.249936904876383	6.83558790216966e-07	0.000196625393886769
REST	Docetaxel	1007	Microtubules	0.364053374678316	7.35120425096378e-07	0.000209665067005242
MYC	SB590885	1061	BRAF	-0.227897280204987	7.62301791952831e-07	0.000215590477379601
AHR	SB-505124	1194	TGFR1 (ALK5)	0.18640874715578	8.0230855314414e-07	0.000225014119633884
JUN	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.382394171200767	8.14325242122149e-07	0.000226496826641495
HNF4A	Bleomycin (50 uM)	1378	DNA damage	0.394216822622889	8.31879388517038e-07	0.000229482793610991
MITF	piperlongumine	1243	Increases ROS levels	0.218201736005655	8.53787170687525e-07	0.000231727477657166
PAX5	NPK76-II-72-1	257	PLK3	0.280846958194838	8.47125375055591e-07	0.000231727477657166
MYC	OSU-03012	167	PDPK1 (PDK1)	-0.249447598551269	8.64722844967282e-07	0.000232817978778991
MYC	GSK-1904529A	202	IGF1R	-0.14210778831493	9.2529206153173e-07	0.000247148447070241
EBF1	Ruxolitinib	206	JAK1, JAK2, TYK2	0.176986523755153	9.46952206920685e-07	0.000249097575687239
REST	Midostaurin	153	KIT	0.317923899298865	9.47392354418855e-07	0.000249097575687239
MYCN	GSK-650394	177	SGK3	-0.341581232690393	1.02838756434465e-06	0.000268297546341234
NR3C1	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.538641507209175	1.05075563368308e-06	0.000272024468089261
REST	Cytarabine	1006	DNA synthesis	0.413379420919327	1.06561922586247e-06	0.000273766527071768
NFKB1	Axitinib	1021	PDGFR, KIT, VEGFR	0.267213413200288	1.07616445233831e-06	0.000274381171541255
RELA	RDEA119 (rescreen)	1526	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.310778107427485	1.12229057282954e-06	0.000283990144575775
ZNF263	Bleomycin (50 uM)	1378	DNA damage	-0.373923944039104	1.14173540607956e-06	0.000286754515609011
FOXA1	GSK429286A	230	ROCK2	0.254296184724818	1.18288178678971e-06	0.000294888048403021
FOXA2	NSC-207895	269	MDM4	0.319231289293236	1.28480127442885e-06	0.00031794108008017
ELK1	Temozolomide	1375	DNA akylating agent	-0.144031000622185	1.33588673048694e-06	0.000328169838792247
ELK1	JNK-9L	157	JNK	-0.211617858990939	1.35972258021546e-06	0.000328277515096698
ESR1	KIN001-270	345	CDK9	0.199660364840549	1.37247453673774e-06	0.000328277515096698
NFE2L2	THZ-2-102-1	346	CDK7	0.556850964342231	1.37534184010205e-06	0.000328277515096698
RELA	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.449379474430572	1.37196907934715e-06	0.000328277515096698
ELK1	IPA-3	176	PAK1, PAK2, PAK3	-0.305327071858593	1.41300886332688e-06	0.000334893051375113
FOXA1	THZ-2-102-1	346	CDK7	0.556998101676691	1.51218911787259e-06	0.00035589318015386
STAT1	TAK-715	221	p38a	0.215848483508411	1.52604950580652e-06	0.000356661084152212
HSF1	Bleomycin	190	DNA damage	-0.406321399484064	1.57792483849163e-06	0.000358817975942134
MYC	Cisplatin	1005	DNA crosslinker	-0.240294310427987	1.56843627585029e-06	0.000358817975942134
PAX5	Temozolomide	1375	DNA akylating agent	0.146851509411027	1.56572470168688e-06	0.000358817975942134
RELA	AZD6244 (rescreen)	1498	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.31799055512129	1.55380650058677e-06	0.000358817975942134
NFKB1	Bleomycin (50 uM)	1378	DNA damage	-0.391622428978069	1.60203397343655e-06	0.000361855391785282
ELK1	PF-562271	158	FAK	-0.214195345010545	1.62223930105344e-06	0.000363976424513024
PAX5	Axitinib	1021	PDGFR, KIT, VEGFR	0.249465268838195	1.65362162871394e-06	0.000365564300147254
REST	DMOG	165	Prolyl-4-Hydroxylase	0.33603192179211	1.65365833848737e-06	0.000365564300147254
TFAP2C	FK866	1248	NAMPT	0.709131691294682	1.66190277588857e-06	0.000365564300147254
JUND	Bleomycin (50 uM)	1378	DNA damage	-0.420382276565716	1.69632389878331e-06	0.000370712862425665
GATA2	RDEA119 (rescreen)	1526	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.285640611556104	1.72229821652393e-06	0.000373960945013632
PPARA	THZ-2-102-1	346	CDK7	0.454660236702476	1.74013505088539e-06	0.000375411827804793
MYC	NU-7441	1038	PRKDC (DNAPK)	-0.18797711139154	1.75862951608735e-06	0.000375638944208823
RELA	TL-2-105	211	CRAF	0.24153503354401	1.76351071712952e-06	0.000375638944208823
MYC	CCT018159	1170	HSP90	-0.211026593187992	1.86461749877707e-06	0.00039221063700839
WT1	BMN-673	1259	PARP1	-0.362379548245281	1.86444221302049e-06	0.00039221063700839
YBX1	Docetaxel	1007	Microtubules	-0.254745398056181	1.88061145768598e-06	0.000393117879555415
MYCN	EX-527	341	SIRT1	-0.120807371445158	1.89369292258492e-06	0.000393408859935775
VDR	RDEA119 (rescreen)	1526	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.272385436331317	1.94744733498299e-06	0.000402094110790507
CTCF	JNJ-26854165	1133	MDM2	-0.187397115528424	1.96359549367797e-06	0.000402956136217879
STAT1	SB52334	304	ALK5	0.251637948061638	2.01743895227386e-06	0.000411496411750162
ZEB1	GSK429286A	230	ROCK2	0.229974668775847	2.07224411639574e-06	0.000420128769501799
FOXA2	T0901317	333	LXR	0.212790955080441	2.14455394780167e-06	0.00042201480322832
GATA3	Axitinib	1021	PDGFR, KIT, VEGFR	0.329861085767432	2.12488685597743e-06	0.00042201480322832
HNF4A	THZ-2-102-1	346	CDK7	0.465853614290009	2.14081865799224e-06	0.00042201480322832
JUN	AZD6244 (rescreen)	1498	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.335709983785562	2.14569807251173e-06	0.00042201480322832
MYC	Vinorelbine	140	Microtubules	-0.321753181486101	2.16727287244098e-06	0.00042201480322832
NR3C1	EX-527	341	SIRT1	0.155701934635957	2.16932286312582e-06	0.00042201480322832
TP63	Cetuximab	1114	EGFR	-0.219589540809926	2.10083655283265e-06	0.00042201480322832
LEF1	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.485185883920604	2.21763405693211e-06	0.000428933759689944
PAX5	rTRAIL	1261	TR10A (DR4),  TR10B (DR5)	0.273075735285978	2.25485465211644e-06	0.000433640761811308
GATA3	VX-702	1028	p38	0.21493980356981	2.27009756566207e-06	0.000434091668024755
REST	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	0.379868719052244	2.30142654812428e-06	0.000437596104390524
VDR	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.389443767537294	2.41169709188529e-06	0.000455986885547188
NR3C1	PD-0325901	1060	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.409672586184455	2.4295676871225e-06	0.000456799444190546
CTCF	Cisplatin	1005	DNA crosslinker	-0.234815598864989	2.47212029104227e-06	0.000458358036218055
FOXA1	T0901317	333	LXR	0.218285767654937	2.47405986384552e-06	0.000458358036218055
FOXA1	TW 37	1149	BCL2, BCL2L1	0.277990706008078	2.4903053270203e-06	0.000458358036218055
MYC	IPA-3	176	PAK1, PAK2, PAK3	-0.300211170685141	2.49233459004321e-06	0.000458358036218055
NFE2L2	NSC-207895	269	MDM4	0.3191568590581	2.58682433207816e-06	0.000473149852696143
MYCN	PF-562271	158	FAK	-0.215592678746931	2.68024864550294e-06	0.000482007569427027
NFKB1	AC220	254	FLT3	0.188212628849619	2.6798342218874e-06	0.000482007569427027
RELA	Axitinib	1021	PDGFR, KIT, VEGFR	0.269498259145642	2.70686170321521e-06	0.000482007569427027
REST	BMN-673	1259	PARP1	0.419183619396372	2.68948217215974e-06	0.000482007569427027
TP63	Elesclomol	1031	HSP70	0.394416885096573	2.70540105199518e-06	0.000482007569427027
IKZF1	BX-795	1037	TBK1, PDPK1, IKK, AURKB, AURKC	-0.278302835118598	2.73307556992876e-06	0.000484113991083961
POU3F2	FH535	173	unknown 	0.27203934813864	2.76794266379969e-06	0.000487723090838632
IRF1	SB-505124	1194	TGFR1 (ALK5)	0.176235779716037	2.78653211912346e-06	0.00048844134619323
AHR	THZ-2-102-1	346	CDK7	0.454538833978807	2.95579981653996e-06	0.000512770323843568
FOXA1	SB-505124	1194	TGFR1 (ALK5)	0.20993836075439	2.94198959031502e-06	0.000512770323843568
TFAP2C	Afatinib	1032	ERBB2, EGFR	-0.359207146681657	3.00261555920445e-06	0.000518220649461671
ELK1	SB590885	1061	BRAF	-0.214443929936914	3.05037883284143e-06	0.000518487371814537
NFKB1	XAV 939	1268	TNKS1 (tankyrase-1)	-0.17683758191209	3.0476343465923e-06	0.000518487371814537
RELA	MP470	293	PDGFR	0.335490067960919	3.04322492440748e-06	0.000518487371814537
YY1	KIN001-270	345	CDK9	-0.148286868441814	3.31658196464117e-06	0.000560902341809038
GATA3	Zibotentan, ZD4054	266	Endothelin A Receptor	0.130928216758409	3.38146326919051e-06	0.000566565654811147
PAX5	BX-912	222	PDPK1 (PDK1)	0.291743658449305	3.38373782846652e-06	0.000566565654811147
MYC	Tipifarnib	204	Farnesyl-transferase (FNTA)	-0.325716978753078	3.40210569959654e-06	0.000566821125346147
REL	SB52334	304	ALK5	0.222196116266358	3.48683131886907e-06	0.000578075409046987
REL	FH535	173	unknown 	0.232982432906564	3.77124296704074e-06	0.00062216265713606
MYCN	T0901317	333	LXR	-0.174571781317318	3.79201177512201e-06	0.000622537347764542
MYC	KU-55933	1030	ATM	-0.187209788003674	3.81500058700394e-06	0.000623271091046688
GATA3	UNC1215	1262	LMBL3	0.126679625027787	3.85491819622603e-06	0.000626750105768053
RELA	SB52334	304	ALK5	0.254406693376638	3.98728132077599e-06	0.000645153619474596
TFAP2C	EX-527	341	SIRT1	0.150114169236699	4.009882584579e-06	0.000645706212363666
ZEB1	Gefitinib	1010	EGFR	-0.226579099312826	4.10662012209957e-06	0.000658134762901243
ELK1	FH535	173	unknown 	-0.228833569836382	4.22337034293497e-06	0.000664194060240543
MYC	KIN001-270	345	CDK9	-0.148061088704791	4.2184172156191e-06	0.000664194060240543
TBP	THZ-2-102-1	346	CDK7	0.364572221698311	4.20473005642477e-06	0.000664194060240543
TCF12	Docetaxel	1007	Microtubules	-0.279543867254321	4.2013419449125e-06	0.000664194060240543
FOXA1	Axitinib	1021	PDGFR, KIT, VEGFR	0.294273372278693	4.26182024265736e-06	0.000667123536123876
REL	TL-2-105	211	CRAF	0.202278701365218	4.32351772542694e-06	0.000673648097450202
FOXA2	THZ-2-102-1	346	CDK7	0.515991206501074	4.45076134932576e-06	0.000686149836261437
MYCN	Zibotentan, ZD4054	266	Endothelin A Receptor	-0.0975639581346291	4.46491796586703e-06	0.000686149836261437
NR3C1	EHT 1864	1069	Rac GTPases	0.216753376024082	4.45425100329929e-06	0.000686149836261437
PAX5	XMD13-2	330	RIPK	0.214601695067955	4.50337117644511e-06	0.000688913440651182
CTCF	KU-55933	1030	ATM	-0.182146484168408	4.81254944522646e-06	0.000729578160266201
WT1	SN-38	1494	TOP1	-0.315775305052132	4.81199413670411e-06	0.000729578160266201
PAX5	Tamoxifen	1199	ER	0.134587352632793	4.92632906000137e-06	0.000743478047149534
SMAD4	SB590885	1061	BRAF	0.271005347742893	4.96647293657756e-06	0.000746190386966597
MYC	VX-702	1028	p38	-0.153030801598514	5.05846158485318e-06	0.000756633442836595
MYC	JQ12	164	HDAC	-0.315064586384042	5.10593855069716e-06	0.000760355583733243
AHR	FH535	173	unknown 	0.245849275919454	5.15892710468699e-06	0.000761507419772986
MYCN	VX-11e	262	ERK	-0.257911119332125	5.15241597117042e-06	0.000761507419772986
GATA3	Afatinib (rescreen)	1377	ERBB2, EGFR	-0.378514450594228	5.2438050543611e-06	0.000770656153294859
MYC	AS601245	207	JNK 	-0.222168141104459	5.37747646012683e-06	0.000786865088111167
FOXM1	AZD7762	1022	CHEK1, CHEK2	-0.233013264143435	5.46776867061904e-06	0.000793179976765878
SRF	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.309813446731674	5.45700258328855e-06	0.000793179976765878
NFKB1	TL-2-105	211	CRAF	0.221060786048198	5.61157132130206e-06	0.000810546921967472
PAX5	T0901317	333	LXR	0.170590583787087	5.73776114787335e-06	0.000825232271075545
YBX1	Epothilone B	201	Microtubules	-0.32512669022355	5.781580294102e-06	0.000827996105523417
FOXA1	KIN001-260	290	IKK	0.220824364570315	5.98258977386044e-06	0.000850034782783573
PAX5	GSK-650394	177	SGK3	0.313394720756	5.98598257375447e-06	0.000850034782783573
HNF4A	(5Z)-7-Oxozeaenol	1242	MAP3K7 (TAK1)	0.245036543105017	6.03729439603642e-06	0.000853719087809268
FOXA1	STF-62247	258	stimulates autophagy	0.19300904233892	6.51259229042306e-06	0.00091707654198405
PPARD	ZG-10	1161	IRAK1	0.282830642279906	6.58648732076573e-06	0.000923617628251544
GATA1	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.292953848360835	6.64300319551023e-06	0.000927677479439406
PAX5	SB-715992	208	KIF11	0.303254531779728	6.69696606098966e-06	0.000931348730506641
E2F1	AICAR	1001	AAPK1 (AMPK) agonist	-0.213120780801699	6.79270043989345e-06	0.000936919398789402
TCF4	TAK-715	221	p38a	0.219341549992794	6.78235156430414e-06	0.000936919398789402
CTCF	CCT018159	1170	HSP90	-0.199298144056451	6.86431225948378e-06	0.000942932363644598
ESR1	Afatinib	1032	ERBB2, EGFR	-0.33645808749242	6.90634742475008e-06	0.000944850091788471
MYC	HG-5-113-01	1142	LOK, LTK, TRCB, ABL(T315I)	-0.256527473398045	7.20648857614262e-06	0.000981920538583319
NFE2L2	SB52334	304	ALK5	0.270736803021344	7.40347168613116e-06	0.00100469290159978
FOXA2	PI-103	302	PI3Ka, PRKDC (DNAPK)	0.469738235624713	7.52744335387117e-06	0.00100999838877257
GATA3	KIN001-260	290	IKK	0.237046807160885	7.68861084468151e-06	0.00100999838877257
GATA3	AV-951	312	VEGFR	0.168168311060959	7.74267075630135e-06	0.00100999838877257
GATA3	THZ-2-102-1	346	CDK7	0.561282047848074	7.74134988249851e-06	0.00100999838877257
HSF1	Obatoclax Mesylate	182	BCL2, BCL2L1, MCL1	-0.27398485000023	7.65319463801656e-06	0.00100999838877257
JUND	17-AAG	1026	HSP90	-0.359689235490238	7.63860915528267e-06	0.00100999838877257
MYCN	KIN001-260	290	IKK	-0.179133580281317	7.54907988204954e-06	0.00100999838877257
PPARA	QL-X-138	331	MNK2, PRKDC (DNAPK), MTOR, BTK, JAK3	0.285092209915708	7.68094758625675e-06	0.00100999838877257
TEAD1	Bleomycin (50 uM)	1378	DNA damage	-0.375570905620917	7.72912903857853e-06	0.00100999838877257
WT1	PD-0332991	1054	CDK4, CDK6	-0.31342170948683	7.49990541106167e-06	0.00100999838877257
